Szép fényes Hajnalcsillagom	124
Szép rózsabimbó	123
Szépséges Jézus	53
Szerelmes Jézus	142
Szeretni vágyom	358
Szíved békétlen és üres	234
Szívem Királya	251
Szívünk egészen	287
Szólsz hozzám, Istenem	267
Szólj hozzám, Jézus	193
Szólj Uram, mert várok	192
Szólj Uram, szólj nekem	497
Szólj, szólj hozzám Uram	190
Szűkölködünk	87
Taníts Uram	359
Tarts vérző oldaladnál	88
	
Te adj, Uram, ma új szívet	338
Tebenned bíztunk	420
Te légy velem	252
Te vagy napvilágom	253
Téged áld, ó Alkotó	34
Tégy foglyoddá	360
Tégy Uram engem	495
Teljesen a tied	288
Teremtő Istenünk	89
Térj magadhoz drága Sion	185
Testvérek, föl tehát	437
Testvérek, lépjünk	183
Testvérek, menjünk	184
Tiéd az ügy, ó Jézusunk	186
Tiéd örökre	329
Tiéd vagyok	327
Tiszta égi béke	421
Tisztítsd meg szíved	361
Több szentséget árassz	362
Tudom, az én Megváltóm	476
Tündököl az Úr kegyelme	438
Tüzed Uram Jézus	339
Úgy kutattunk	290
Úgy szeretnék	363
Új szívet adj	499
Úr Jézus nézz le rám	61
Úr Jézus szent örömmel	125
Úr Isten, mily nagy szent	55
Úr lesz majd Jézus	56
Uram, maradj velem	455
Uram, mindent elhoztam	289
Uram, mindent eltékozoltam	268
Uram, ó add	477
Uram, Te jól ismersz	54
Uram, Te ki békét ígérsz	91
	
Uram Isten siess	498
Uram segíts	90
Úrnak szolgái	60
Urunk, add Lelkedet	496
Üdvözítőm, drága Jézus	92
Üres kézzel kell-e	439
Űzd el a kísértőt	364
Vágyol-e elhagyni	235
Vágyom melletted élni	254
Van még hely ott	237
Van még számomra is	328
Van örök kincsünk	191
	
Vándor áll ajtód előtt	236
Vándorutam Jézusommal	422
Várj ember szíve-lelke	100
Végig megálld	424
Velem vándorol	423
Világíts nékem Jézus	93
Vonj öröm és	94
Vonj Uram, vonj engemet	365
Záporként hull majd az	95
Zengd Jézus nevét	57
Zengjen az ének	58
Zengjen hálaének	59
