Porok vagyunk, porrá lészünk	412
	
Rád tekint már hitem	466
Reménységemben hívlak Uram Isten	237
	
Semmit ne bánkódjál Krisztus szent serege	380
Seregeknek hatalmas nagy királya	207
Seregeknek szent Istene	408
Siess, keresztyén, lelki jót hallani	161
Siess, ments meg Uram Isten	70
Siess nagy Úr Isten, én segítségemre	476
Sok ínségünkben hozzád kiáltunk	384
Sok nyavalyánkban Atyánkhoz kiáltunk	214
	
Szabadíts meg engem Úr Isten a gonosz csalárd	140
Szabadíts meg engem Úr Isten és tarts meg	59
Szabadíts meg és tarts meg Uram Isten	12
Száma nincsen, Uram, jótéteményidnek	451
Szelíd szemed, Úr Jézus	465
Szemem a hegyekre vetem	121
Szent Dávid próféta éneklő könyvének	260
Szent egek, minden boldogok hajléki	360
Szent Ézsaiás így ír Krisztusnak	311
Szent Isten, noha néked	152
Szent, szent, szent a seregeknek Ura	176
Szent vagy örökké Atya Úr Isten	241
Szent vagy, szent vagy, szent vagy	488
Szentlélek, végy körül bennünket	377
Szeretem és áldom az Úr Istent	116
Szép tündöklő hajnalcsillag	296
Szívem megalázván tehozzád megyek	486
Szívem szerint kívánom	401
Szívemet hozzád emelem	25
Szívünk vígsággal ma bétölt	325
Szólj, szólj hozzám Uram	512
Szólsz hozzám Istenem	445
Szomorú a halál a gyarló embernek	403
Szűkölködünk nagy mértékben	172
	
Tarts meg engemet, ó én Istenem	16
Tarts meg Uram, én Istenem	54
Tartsd meg e gyülekezetnek	194
Tebenned bízom én Istenem	71
Tebenned bíztunk eleitől fogva	90
Te drága Jézus, mi történt tevéled	340
Tehozzád kiáltok Úr Isten	141
Tehozzád szemeimet, Úr Isten	123
Tehozzád teljes szívből	130
Tenéked Uram, hálát adok	494
Teremtő Istenünk	238
Testvérek, menjünk bátran	455
Téged ó Isten dícsérünk	243
Téged Úr Isten, mi keresztyének	242
Térj magadhoz drága Sion	394
Ti keresztyének dícsérjétek Istent	198
Ti tanácsban ülő személyek	58
Tökéletes volt minden tekintetben	209
Tudom, az én Megváltóm él	421
	
Új világosság jelenék	301
Uram, téged tisztellek	449
Uram, a te igéd nekem	231
Uram, a te ítéletedet	72
Uram bocsásd el népedet békével	446
Uram bocsássad el	447
Uram, bűneink soksága	208
Uram, én csak te benned bíztam	31
Uram Isten, siess	151
Uram, kegyes indulatomban	201
Uram, ki lészen lakója	15
Uram, majd egyszer feltámadnak	418
Uram, ne hallgass ily igen	83
Uram, nem űz nagyra szívem	131
Uram, te megvizsgálsz engem	139
Uram, te nagy haragodban	6
Urunk, irgalmazz nékünk	177
Urunk Jézus fordulj hozzánk	166
Úr Isten, az én imádságom	5
Úr Isten áldj meg jóvoltodból	67
Úr Isten, én idvességem	88
Úr Isten kérlek, kegyelmezz nékem	51
Úr Isten, kérünk tégedet	431
Úr Isten, kész az én szívem	108
Úr Isten, légy most mivelünk	387
Úr Isten, mi sok szükséget	156
Úr Isten, segíts és tarts meg engem	69
Úr Isten, te tarts meg minket	233
Úr Isten, téged szívünkből dícsérünk	169
Úr Jézus, aki felséggel	359
Úr Jézus, hozzád kiáltok	239
Úr Jézus, idvesség fejedelme	430
Úr Jézus, mely igen drága	154
Úr Jézus, nézz le rám	470
Úr lesz a Jézus mindenütt	398
Úrnak szolgái mindnyájan	134
